City Name,Zone Name,Name of heritage,"Nature of heritage (open space, monuments, street etc.)",Heritage use,Age of heritage (in Years  )
Thane ,Thane,Central Jail,Jail,Prison,244
Thane,Thane,Kopineshwar Mandir,Temple,Place of Worship,318
Thane,Thane,St. James Church,Church,Place of Worship,193
Thane,Thane,St. John's Church,Church,Place of Worship,436
Thane,Chendani Koliwada,Datta Tample,Temple,Place of Worship,138
Thane,Thane,Synagogue,Temple,Place of Worship,139
Thane,Tembhi naka,Agrari and fuest House,Temple,Place of Worship,238
Thane,Mumbra,Mumbradevi Temple,Temple,Place of Worship,NA
Thane,Ghodbandar Road,Church of our Lady of Hope,Temple,Place of Worship,NA
Thane,Thane,Gateway Vitthal Sayanna temple,Temple,Entrance  gateway,NA
Thane,Kopri,Custom House,House,Vacant,NA
Thane,Thane,Office of the Deputy Coservator of Forest,Building,Government Office,NA
Thane,Thane,Anand Bharti Temple,Temple,Place of Worship,NA
Thane," Court Naka, Thane",Town Hall,Hall,Community Hall,101
Thane, Khidkali,Khidkaleshwar Temple,Temple,Place of Worship,1200
Thane,Thane,Mani Baug,House,Residential,100
Thane,Gokhle Road,Thakur Bunglow,House,Residential,NA
Thane,Thane,Sitaram Bhuvan,House,Vacant,NA
Thane,Thane,Hate Building,Building,Residential And Commmercial,75
Thane,Charai,Ann Niketan,House,Residential,71
Thane,Charai,Pimenta House,House,Residential,88
Thane,Charai,Pimenta House,House,Residence And Nursury School,90
Thane,Charai,Kaldate House,House,Residential,123
Thane,Charai,Pimenta House,House,Nursury ,88
Thane,Charai,Purihit House/Chandiwale Building,House,Residential and Shop,93
Thane,Charai,NA,House,Residential,NA
Thane,Naupada,Janki Niwas,House,Residential and Hospital,74
Thane,Naupada,Kanade Building,Building,Residential,83
Thane,Naupada,Govind Niwas,House,Residential,87
Thane,Naupada,Maydeo Building,Building,Residential,88
Thane,Naupada,Veerkar House,House,Residential,86
Thane,Naupada,Pendse Building,Building,Residential,86
Thane,Naupada,Ganga Bhauva,House,Residential,84
Thane,Uthalsar,Rodrigues Bungalow,House,Residential,88
Thane,Uthalsar,Rose Cottage,House,Residential,86
Thane,Uthalsar,Rodrigues Building,Building,Residential,92
Thane,Uthalsar,Fatima Cottage,House,Residential,71
Thane,Uthalsar,Almeida House,House,Residential,104
Thane,Uthalsar,Remedios House,House,Residential,NA
Thane,Kopri,Indryani,Bunglow,Residential,94
Thane,Kopri,Dhanvantri,Bunglow,Residential,94
Thane,Kopri,Vikas,Bunglow,Residential,94
Thane,Kopri,Shivgiri,Bunglow,Residential,94
Thane,Kopri,Priyadarshini,Bunglow,Residential,94
Thane,Kopri,Rajgruh,Bunglow,Residential,94
Thane,Kopri,Shivneri,Bunglow,Residential,94
Thane,Kopri,pradnya ,Bunglow,Residential,94
Thane,Kopri,van Bhavan,Bunglow,Residential,94
Thane,Thane,Gokul,Bunglow,Residential,128
Thane,Thane,Ramchandra Niwas,House,Residential,NA
Thane,Thane,Gandhi Buildings,Building,Residential,NA
Thane,Thane,Bhalekar Building,Building,Residential and shops,72
Thane,Thane,Durve Buildings,Building,Residential and shops,74
Thane,Charai,Dyaneshwar Dyananmandir English Hight School,School Building,School,96
Thane,Charai,D'cunha House,House,Residential,65
Thane,Naupada,Narayan Niwas,House,Residential,87
Thane,Naupada,Shilpshri,House,Residential,83
Thane,Naupada,Vaidya Bunglow,Bunglow,Residential,86
Thane,Naupada,Gandre Wada,House,Residential,84
Thane,Kopri,Konark,Bunglow,Residential,94
Thane,Kopri,Devgiri,Bunglow,Residential,94
Thane,Kopri,Panchganga,Bunglow,Residential,94
Thane,Kopri,Kiran,Bunglow,Residential,94
Thane,Kopri,Thane Gymkhana- The Officers Club,Club House,Residential,83
Thane,Kalwa,Kalwa Bridge,Bridge,Vehicular Bridge,118
Thane,Thane,Masunda lake,Lake,Lake and refreshnal Purose,NA
Thane,Thane,Castle Lake,Lake,Lake,NA
Thane,Thane,Kacharali Lake,Lake,Lake and Garden,NA
Thane,Thane,Siddeshwar Lake,Lake,Lake,NA
Thane,Thane,Makhmali Lake,Lake,Lake,NA
Thane,Thane,Ghosali Lake,Lake,Lake,NA
Thane,Thane,Bramhala Lake,Lake,Lake,NA
Thane,Rabodi,Ambe Lake,Lake,Lake,NA
Thane,Wagale Estate,Rataladevi Lake,Lake,Lake,NA
Thane,Kopri,Harel Lake,Lake,Lake,NA
Thane,Uthalsar,Jogila Lake,Lake,Lake,NA
Thane,Pokhran,Upvan lake,Lake,Lake,NA
Thane,Kolbad,Kolbad Lake,Lake,Lake,NA
Thane,Ghodbandar Road,Ulhas River Creek,River and part creek,River and part creek,NA
Thane,Yeoor,Yeoor Hills,Hill,Hill,NA
Thane,Parsik Mumbra,ParsiK Hills,Hill,Hill,NA
